molecule_chembl_id,canonical_smiles,standard_value,0,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL354360,CN1C(=O)[C@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C[C@H]1COCc1ccccc1,115.0,active,758.9609999999998,4.452800000000005,5.0,8.0,115.0,6.939302159646388
CHEMBL170772,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H]1CCN(C2CCCCC2)C1=O,500.0,active,706.9289999999999,4.570300000000004,5.0,7.0,500.0,6.301029995663981
CHEMBL104966,CC(C)[C@H](NC(=O)[C@H](NCc1ccccc1)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)(C)C)C(=O)NCc1ccccc1,60.0,active,749.9530000000001,5.031500000000004,6.0,7.0,60.0,7.221848749616356
CHEMBL319672,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](NCc1ccccc1)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,35.0,active,735.926,4.641400000000004,6.0,7.0,35.0,7.455931955649724
CHEMBL318803,COc1ccc(CN[C@@H](C(=O)N[C@H](C(=O)NCc2nc3ccccc3[nH]2)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)C)cc1,380.0,active,805.9770000000001,4.526300000000005,7.0,9.0,380.0,6.42021640338319
CHEMBL104783,COc1ccc(CN[C@@H](C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)C)cc1,110.0,active,765.9520000000001,4.650000000000006,6.0,8.0,110.0,6.958607314841775
CHEMBL64958,COc1ccc(CN[C@@H](C(=O)N[C@H](C(=O)NCc2nc3ccccc3[nH]2)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)(C)C)cc1,1000.0,active,820.004,4.916400000000006,7.0,9.0,1000.0,6.0
CHEMBL104326,COc1ccc(CN[C@@H](C(=O)N[C@H](C(=O)NCc2nc3ccccc3[nH]2)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CCc2ccc(O)cc2)C(C)(C)C)cc1,10000.0,inactive,834.031,4.444600000000007,8.0,9.0,10000.0,5.0
CHEMBL320800,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H]1NCc2ccc(cc2)OCCOCCNC(=O)[C@H](C(C)C)NC1=O,10000.0,inactive,731.8909999999998,2.8502000000000027,6.0,9.0,10000.0,5.0
CHEMBL325739,COc1ccc(CN[C@@H](C(=O)NC2c3ccccc3C[C@H]2O)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)C)cc1,10000.0,inactive,708.8560000000001,3.9673000000000025,6.0,8.0,10000.0,5.0
CHEMBL113560,CC(C)[C@@H]1NC(=O)[C@@H]([C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)(C)C)NCc2ccc(cc2)OCCOCCNC1=O,10000.0,inactive,745.9179999999999,3.240300000000003,6.0,9.0,10000.0,5.0
CHEMBL113085,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H]1NCc2ccc(cc2)OCCOCCOCCNC(=O)[C@H](C(C)C)NC1=O,10000.0,inactive,775.9439999999997,2.866800000000004,6.0,10.0,10000.0,5.0
CHEMBL74974,CCCCNC(=O)CC(O)C(Cc1ccccc1)NC(=O)[C@@H](NC(=O)COc1ccc2ccccc2c1)[C@@H](C)CC,500.0,active,561.7230000000002,4.144300000000003,4.0,5.0,500.0,6.301029995663981
CHEMBL326831,CC1=C(CCC(=O)O)c2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C(C)=C5C(COC(=O)C1=CC1)OC(=O)C1=CC1)c(C)c4C(COC(=O)C1=CC1)OC(=O)C1=CC1)c(C)c3CCC(=O)O,10000.0,inactive,894.9339999999999,7.577940000000008,4.0,12.0,10000.0,5.0
CHEMBL416472,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@@H](CC(=O)N(CC(=O)N(C)CCc1ccccn1)CC1CCCCC1)Cc1csc(N)n1,550.0,active,727.0289999999995,5.002200000000005,4.0,9.0,550.0,6.259637310505756
CHEMBL113208,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1ccccn1)C(C)C)C(N)=O,21.0,active,596.729,0.835400000000005,6.0,7.0,21.0,7.6777807052660805
CHEMBL115048,CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)Cc1ccc2ccccc2c1)C(C)CC,320.0,active,511.7070000000003,4.111400000000003,4.0,4.0,320.0,6.494850021680094
CHEMBL333564,CNC1CCN(C(=O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H](CSC)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)C(=O)OC(C)C)CC1,550.0,active,646.8950000000003,3.061300000000002,4.0,8.0,550.0,6.259637310505756
